優先度,スコア,紹介日,業者名,担当者,連絡先,物件住所,元営業担当,復活シグナル,状況(最新)
A,31,11/24/2022,イオンハウジングイオンモール与野店(株)フォーメンバーズ,鶴見貴之,090-9137-2833,比企郡鳩山町鳩ヶ丘3-3-3,森田,待ち/まで待/再度連絡/また連絡/連絡もらう/数ヶ月/反響なし/売れない/高値/下げ/価格を下げ/専任/募集/希望価格/時間を掛けれ/安くても/手放す,んも、上記の話は納得気味で、安くても早めに手放すべきという考え。まずは売主の希望価格で出して売れないという事実を突きつけてから価格を下げる提案をする方針とのこと（その際に声をかけてもらえるかも） (3/6)現在600万で鶴見さん専任で11月ごろから出しているも反響なし。数ヶ月後にまた連絡するか、動きあったら連絡もらう。
A,8,1/27/2023,福研住宅サービス,真中,049-261-3598,富士見市羽沢1-13-14,森田,待ち/再度連絡/近くなったら/反響はない,（2/8）売主が400万台希望。近々引越し予定。ただし外観からは100万ほどしか出すことはできない。敷地も12坪ほど。待ち (3/6)7月に引っ越し予定。それまで広告は出し続けて欲しいとのこと。まだ反響はないかが、近くなったら再度連絡する （4/24）445万ほどで売却・契約になったとのこと（北嶋さんの架電により判明）
A,6,6/26/2023,(有)コーユ・ファイブ,蓮見代表,048-956-5933,千葉県松戸,込山,売れず/下げ/金額合わず,"1年前に売り出したが売れずに在庫扱い、再建築不可、建物状況悪く査定金額は100万以下となる⇒金額合わずクローズ, 6/26/2023,秋山不動産　　マイソク以外資料,秋山社長,048-432-8189,川口市前川2丁目,クローズ,江藤,北嶋,850万円に100万下げても、売れず、値段付けてくれ　　利回り悪いためクローズ"
A,5,5/11/2023,東急リバブル(株)川越センター,森田,049-246-4551,東松山市松葉町,森田,売りたい/待ち,ためクローズ 2023/05/22　売主と連絡取れず会えていないとのこと。こちら今月中に連絡なければ追わず。 2023/5/15　14日に売主と会話するとのこと。内容を共有してくれるとのことで電話待ち 2023/5/11 158坪の土地に平成9年の2階建て、昭和40年の平屋、こちらの古い方を分筆して、売りたいとのこと。
B,4,5/19/2023,大和商事(株),新槙,090-4664-2221,杉戸町清地6-18-5,込山,下げ/値下げ,2023/5/19　売主希望600万、仲介は落としどころは400万前後だと思っているそうですが売主の思い入れもある家なので値下げする意思は今のところなし。とりあえず住宅展示場に案件を持って行って売れなかったら徐々に下げていこうかなって感じだそうです。家賃5万で貸していたそうです。（本来は5.5万）
B,4,5/30/2023,住まい人,河本,0480-57-2121,埼玉県幸手市中5-16-15,込山,高値/手放す,　机上AI査定で500万、売主目線750万（これは仲介からこの金額でスタートしましょうで提示した）現状のままで取り壊し費用なども入れると買取で200万前後になる旨を伝、三為OKならこちらでビルダー探すので400万前後で買い取りができる旨もお伝え、売り主に右から左で手放すか高値で売れるのを待つか相談して返答しますとのこと
B,4,6/20/2023,(株)アジア住宅販売,田端,049-238-9001,川越市笠幡,森田,下げ/値下げ,"川越市笠幡の解体費売り主負担(250万円),700万円（1180万円 －250万円－仲手他） →出したばかりなので値下げは難しい。見送り"
B,4,7/28/2023,大忠建設有限会社,石田代表,04-2923-5353,所沢市東狭山ヶ丘1-37-13,森田,待ち/再度連絡,和50年築、土地24坪、建物70㎡以上、賃貸で貸してたが退去したので資産整理（賃料7万以上）、雨漏り、残置物無し、売主は都内在住、目線決まってません。 これから売主と打ち合わせして決めるとのこと。　価格出して欲しいとのこと。普通車停めれるぐらいの駐車スペースあり、3階建てまで建替えられるエリア。内見可能、業者に鍵あり。
B,3,5/27/2023,ＬＩＸＩＬ不動産ショップ　ＭＫ不動産(株,尾崎,048-475-8328,富士見市羽沢３丁目,森田,目線合わ/専任,2023/5/29　目線合わず見送りとするが、マッチしそうな案件は出てくるということで挨拶に伺う予定。 2023/5/27 富士見市の戸建て、エンド850～900万円で見て、売値目線700万円というところでしょうか。来週一般か専任で契約する。鍵はすでに預かっているとのこと。
B,3,6/6/2023,アールプラン（有）,,0428-32-0514,青梅市裏宿町,佐藤,下げ/レインズ,"！"", 6/8/2023,昭栄建設グループ,持田,0120-520-720,埼玉県加須市向古河2491-11,クローズ,込山,菊池,2023/06/09　売主目線250万　現地キーボックス2468　室内かなり逝っていてリフォーム200万↑はかかると思われ。50万で打診もその金額では売主に持っていけないとのことでクローズ"
B,3,6/12/2023,ホームメイトFC清瀬店　(株)イオンズエステート,荻巣（おぎす）,042-497-1157,群馬郡吉岡町大久保,森田,下げ/募集,り下げた。 現空で賃貸募集を掛けている、賃料35000円で貸してた、リフォームなどは施してない、リフォームすればもう少し賃上げできるかと。 売りに出してた頃は指値が多く面倒で売るの辞めたが今は空室だしリフォームなども考えるの煩わしいから価格が合えば売るかも。 業務委託料について伝言済み。これから物件情報メールできます。
B,3,6/26/2023,（有）クイーンズ,田島様,090-1467-1773,越谷市赤山町3-138-1,込山,売りたい,"7-49-6,クローズ,込山,北嶋,""これからのお付き合いも含めてひとつ送ります。また、当物件は再建築不可及び、屋根が落ちているのでそこも踏まえて査定して頂ければ幸いです。売主様の目線としましては、400～500万円程です。 査定額3万円・・・土地値が更地で400万前後、リフォーム代を想定したら引き取り案件になります。"
B,3,7/4/2023,ハウスドゥ上尾本町　島村さん,島村店長,080-4735-9722,桶川市大字加納字宮之脇2196-47,江藤,売りたい,に記載ありますが、もう100万でも良いから売りたいと言っていたので念のため情報頂いた次第です。 別の買取業者は50万なら買うかなと言っていたそうです。バイセルで何かしら検討出来ますか？ 去年12月まで賃料5万でお婆さんが借りてたらしいです。雨漏りなどありそうですね。よくこんな建物に住んでたな！と売主も驚いてたそうです。
B,3,7/7/2023,MRK Next 松戸不動産,村木社長,"""047-718-7781 080-8742-3015""",千葉県,込山,売りたい,3/7/7 中年の男性社長とおはなし、いろいろ売れていないのある.1件自社物件、仲介10件ほどあるが、そのうち、3～４件が８月までに売りたい所有者様なので、指値してくださいとのこと。数件あり査定中　物件多数ありhttps://www.athome.co.jp/buy\_other/estate/101730/list/
B,3,10/13/2023,（株）白井商事,下城,080-4159-0666,川口市南鳩ヶ谷2-19-49,込山,高値/レインズ,階建て 昨日、売主から依頼があった案件で未だ目線も資料もない。今日、売主と打合せするので終わり次第メールで物件情報頂く予定。 業者が三為でやりたいと言ってました。 再建不なので価格は買取相場よりも下がりますよね～と言う感じでした。下がりますけど仲介手数料＋業務委託料払うよと伝えると、お～そうですか。 と反応は良かった。
C,2,2/9/2023,スミダ工業,内山さん,048-882-0166,東京都大田区山王3-1363-1,江藤,再度連絡,2/13に査定書を持ってスミダ工業へ訪問。400万円+50万円の業務委託費で買付提出。業者間相見積もりをしているよう。2/24に進捗確認も不在。2/27週に再度連絡が来る予定。3/10に買い負け連絡を受領。理由は大田区に近い業者を売り主が選んだからとのこと。よって本件クローズ。
C,2,3/13/2023,志楽社,加谷　泰弘さま,070-4164-3369,さいたま市岩槻市大字徳丸118-94,込山,金額合わず,2023/3/13現地調査、土地、査定送付、300万＋業手20万　金額合わずクローズ
C,2,4/10/2023,朝日ハウジング,村上,049-287-1060,富士見市貝塚1-1501-32,森田,待ち,2023/5/8　相手はあまり急いでない感じがするので今月中旬ごろに再度電話する予定 2023/4/25　売主が相続の登記手続きをしている最中とのこと・・・（なかなか進まない。少し間を空けることに） 2023/4/10　司法書士にかかる費用を確認中とのこと。先週と変わらない状況だったので、多分手付かずの状態と思われる。
C,2,4/10/2023,長太郎不動産　若葉駅前,山本,049-280-0002,坂戸市紺屋１０５−３,森田,目線が合,2023/4/10　 ・相談票を4/7に坂戸市役所に提出（調整区域だが建築可能か調査）。１週間程度で連絡ある。 ・目の前の鉄塔は特に問題ない（セットバック不要、電波障害なし） ・浄化槽地域 2023/4/18　金額の目線が合わず見送り
C,2,4/17/2023,(株)中央住宅　千間台営業所,大塚,090-3045-0624,さいたま市岩槻区東町1-2-14,込山,金額合わず,2023/4/17　投資家がローンコケタ案件、350万以下は厳しい、AI査定だと340万\~689万、残置物、要修繕の必要あり希望は200万以下にしたい・・・さいけんふ、調整区域もあり金額合わずクローズ
C,2,4/24/2023,日東商事,比企,080-8122-6668,川越市寺尾２７３−１５,森田,高値,い付けが入ったため通らず（弊社は地元業者とそこまで変わらない買付額） 2023/05/22　本日買付の締切。明日、状況を確認する予定 2023/4/24　反響にてメールにて案件紹介あり。内観は鍵が売主（＠兵庫）保有しているため外観のみ確認。5月下旬までに買付書を欲しいとのこと。内見後に査定額の調整はあり（買付提出済み）
C,2,5/8/2023,大和ハウスリアルエステート（株）埼玉東店,阿部,080-4103-8568,松戸市小山454-1,込山,目線が合,　現地訪問外観のみ写真撮影　2023/5/11　ビルダー3社へ査定依頼　仲介へ550万～600万で売主の温度感確認依頼⇒河川隣接地で水路暗渠、液状化懸念もあり土地は厳しい値段、賃貸転用メインで検討中　2023/05/15　仲介に連絡、売主への確認を督促、査定書送付 2023/05/18　売主と目線が合わず見送りクローズ
C,2,5/11/2023,アーバンフロンティア,松井,048-878-8102,さいたま市岩槻区加倉5-10-65,込山,待ち,5　査定書送付　2023/5/19　売主に金額提示済みだが息子が手元に50万うーむ・・・母親はOKだそう。説得してみますとのこと⇒2023/05/22　問題の息子が月末までフィリピン出張らしく戻ってきたら正式に進められそうとのことで松井社長からの折り返し待ち⇒売主と息子で話し合いしばらく住むことにしたとのことでクローズ
C,2,5/12/2023,彩京不動産,水村社長,049-246-6969,東松山市,森田,目線合わ,2023/5/15　目線合わず見送り（適正価格のため買取に旨みなし） 2023/5/8 東松山市の物件、今いろいろと見積り取っているところだけど、測量とか、600万円とこかな？内見は立合いで。仲はきれいだとの
C,2,5/18/2023,アースハウジング,古内,048-998-0707,吉川市大字上内川859-1,込山,下げ,2023/05/18　古内さんと電話、藤井さんが事前に金額を伝えていたのでAI机上査定書と100万以下での買い取り金額になる旨を連絡、預かったばかりなので今後の反響を見ながら徐々に下げる予定だそうです。6戸のボロアパート案件あるそうです。
C,2,5/22/2023,(有)晃伸,阿部,0480-33-5533,杉戸町大字宮前167-233,込山,待ち,公園駅徒歩30分以上　市街化調整区域　出身者要件なし、築25年　土地30坪　建物延床面積80㎡以上、　売主目線400万、リフォーム（ベランダの雨漏り）や残置物の撤去あり。値引き交渉可⇒2023/05/23　阿部さん留守折り返し待ち⇒このエリア要補修物件だとMAX200万伝えるもお話にならずとのことでクローズなりました。
C,2,6/9/2023,アイエー住宅販売,宮原,070-8942-7516,埼玉県川越市木野目,佐藤,待ち,2023/6/9 川越市木野目店舗住宅　　AI査定　720万。6/13内見実施　店舗部分はリフォーム入れればしっかり使えそう。屋根は修理必須。2階雨染み、軒先壊れ。　売主目線500万。仲介意見として更地土地としては600万。査定としては200万で、担当宮原様納得も、売り主と目線乖離。とりあえず弱り待ちで担当と合意。
C,2,6/19/2023,八木商事,社長,04-2949-2055,所沢市北野南3丁目７－４,佐藤,目線合わ,"6/２０,急遽内見済、建物はきれい。市街化調整区域。売り主1000万目線。AI的には700～580万。弊社と目線合わずなのでご挨拶して撤退。"
C,2,6/23/2023,(有）サンホーム,荷田代表,042-579-5433,八王子市犬目町227-15,佐藤,待ち,、業務委託料別途払います！お客様目線は１０００万円。AI査定上で６４０万円。リフォーム費用と賃貸相場から計算すると４００万円台の仕入れが必須、上記のことを踏まえてⅢホーム荷田様に査定しました。当然まだお話は持っていけないですが、弱り待ちで共通認識。お話じっくりできまして、また物件など出ましたら情報くださるとのことです。
C,2,6/24/2023,タスカルハーツ,川野さん,,上尾市富士見テラスハウス,江藤,待ち,のボロなのでその値段は現実的に無理。 6/24に川野さんとご挨拶。現地内見し、40-50万円で買付。どうやら60万円の残置物処理費がかかっているため売主目線は60万円とのこと。4社が競合との情報を得たため、買付金額を変更。80万円で、業務委託手数料込みで買付口答連絡（7/3）。7/4に二度目の内見予定。売主の回答待ち。
C,2,10/24/2023,（株）ネクストステージ,三浦,090-7719-4538,さいたま市西区佐知川653-6,江藤,目線が合,。 業者：売主　さいたま市西区佐知川の築50年戸建、土地100㎡、2階建て、４DK、間口2ｍ ギリ軽自動車駐車可能、雨漏り無し、１Fリビングの床に盛り上がりアリ、トイレは過去にリフォーム済み、風呂も未だ使えそうとのこと。 買取価格は390万ほどだった。新井さんがリフォーム見積もり取ったら200万ぐらいになったとのこと。
C,1,3/12/2023,㈲三成住販,朝稲,,埼玉県さいたま市見沼区大字南中丸721- 42,森田,専任,場や戸建用地としての売却価格はかなり安くなってしまう）。コロナ前に700万の造成費が出ているため1000万近くに訂正して査定書を作成する予定。 2023/4/21　売主の家を建てたパナホームが2000万ほどでエンドむけに仲介に出すとのこと（専任）。そのため朝稲さんの方で仲介契約結べずに流れてしまったため見送りとなった。
