AI医療コンサル 料金体系（WBS連動・1枚印刷用）	初期費用0円 / 月額0円 / 成果報酬30%				
					
WBSフェーズ	院がやること	菊池が提供	院の費用	課金根拠	
P1 会食/ヒアリング	課題を話す	課題整理・提案	0円	無料	
P2 無料診断	既存データ開示	競合分析＋削減シミュ報告書	0円	無料(GIVE)	
P3 導入/伴走	院長が運用ルール決裁	設計・導入・3ヶ月伴走・補助金申請支援	0円(初期)	成果報酬に内包	
P4 成果測定後	測定に協力(手間最小)	効果測定	削減額×30%	実削減額ベース	
					
成果報酬の具体例(事務3名モデル)					
月削減時間	139時間	時間単価	1,729円	月削減額	240,531円
成果報酬(30%)	72,159円	院に残る(70%)	168,372円	年換算で院に残る	2,020,464円
					
課金条件					
課金開始	効果測定で削減が確認された月から				
成果報酬率	削減額の30%				
契約期間	例:24ヶ月(以降は院の資産として無償運用/保守のみ)				
解約	最低期間以降30日前通知・効果0なら費用0円				
補助金	IT導入補助金で初期実費をさらに圧縮				
					
注記	この成果報酬は入口。信頼の対価として承継・テナント・不動産(110万/件)へ接続。売り込まない。				
