取引日,借方勘定科目,借方税区分,金額,貸方勘定科目,貸方補助科目,貸方税区分,摘要,備考
2026/02/02,獲得ポイント残高,対象外,150000,未払金,JALSuicaゴールド,対象外,AMAZON.CO.JP,原資チャージ(2025準拠/対象外)。実仕入はAmazon注文明細から別途仕入高計上
2026/02/03,獲得ポイント残高,対象外,150000,未払金,JALSuicaゴールド,対象外,AMAZON.CO.JP,原資チャージ(2025準拠/対象外)。実仕入はAmazon注文明細から別途仕入高計上
2026/02/09,獲得ポイント残高,対象外,150000,未払金,JALSuicaゴールド,対象外,AMAZON.CO.JP,原資チャージ(2025準拠/対象外)。実仕入はAmazon注文明細から別途仕入高計上
2026/02/16,獲得ポイント残高,対象外,150000,未払金,JALSuicaゴールド,対象外,AMAZON.CO.JP,原資チャージ(2025準拠/対象外)。実仕入はAmazon注文明細から別途仕入高計上
2026/02/17,荷造運賃,対象外,100000,未払金,JALSuicaゴールド,対象外,SQ*HANIRO,2025のSQ*HANIRO実績=対象外(輸出配送)
2026/02/24,支払手数料,課仕 10%,144000,未払金,JALSuicaゴールド,対象外,FrontierSpirit,出品自動化年額/適格区分は橋本確認
2026/02/27,販売手数料,課仕 10%,487,未払金,JALSuicaゴールド,対象外,PAYPAL *ARVO,2025は販売手数料/課仕10%
2026/03/02,獲得ポイント残高,対象外,150000,未払金,JALSuicaゴールド,対象外,AMAZON.CO.JP,原資チャージ(2025準拠/対象外)。実仕入はAmazon注文明細から別途仕入高計上
2026/03/04,獲得ポイント残高,対象外,150000,未払金,JALSuicaゴールド,対象外,AMAZON.CO.JP,原資チャージ(2025準拠/対象外)。実仕入はAmazon注文明細から別途仕入高計上
2026/03/09,獲得ポイント残高,対象外,150000,未払金,JALSuicaゴールド,対象外,AMAZON.CO.JP,原資チャージ(2025準拠/対象外)。実仕入はAmazon注文明細から別途仕入高計上
2026/03/22,獲得ポイント残高,対象外,150000,未払金,JALSuicaゴールド,対象外,AMAZON.CO.JP,原資チャージ(2025準拠/対象外)。実仕入はAmazon注文明細から別途仕入高計上
2026/03/25,獲得ポイント残高,対象外,150000,未払金,JALSuicaゴールド,対象外,AMAZON.CO.JP,原資チャージ(2025準拠/対象外)。実仕入はAmazon注文明細から別途仕入高計上
2026/03/25,獲得ポイント残高,対象外,150000,未払金,JALSuicaゴールド,対象外,AMAZON.CO.JP,原資チャージ(2025準拠/対象外)。実仕入はAmazon注文明細から別途仕入高計上
2026/03/27,販売手数料,課仕 10%,498,未払金,JALSuicaゴールド,対象外,PAYPAL *ARVO,2025は販売手数料/課仕10%
2026/04/02,獲得ポイント残高,対象外,100000,未払金,JALSuicaゴールド,対象外,AMAZON.CO.JP,原資チャージ(2025準拠/対象外)。実仕入はAmazon注文明細から別途仕入高計上
2026/04/03,獲得ポイント残高,対象外,100000,未払金,JALSuicaゴールド,対象外,AMAZON.CO.JP,原資チャージ(2025準拠/対象外)。実仕入はAmazon注文明細から別途仕入高計上
2026/04/07,獲得ポイント残高,対象外,100000,未払金,JALSuicaゴールド,対象外,AMAZON.CO.JP,原資チャージ(2025準拠/対象外)。実仕入はAmazon注文明細から別途仕入高計上
2026/04/07,獲得ポイント残高,対象外,150000,未払金,JALSuicaゴールド,対象外,AMAZON.CO.JP,原資チャージ(2025準拠/対象外)。実仕入はAmazon注文明細から別途仕入高計上
2026/04/10,荷造運賃,対象外,100000,未払金,JALSuicaゴールド,対象外,SQ*HANIRO,2025のSQ*HANIRO実績=対象外(輸出配送)
2026/04/14,獲得ポイント残高,対象外,150000,未払金,JALSuicaゴールド,対象外,AMAZON.CO.JP,原資チャージ(2025準拠/対象外)。実仕入はAmazon注文明細から別途仕入高計上
2026/04/23,獲得ポイント残高,対象外,150000,未払金,JALSuicaゴールド,対象外,AMAZON.CO.JP,原資チャージ(2025準拠/対象外)。実仕入はAmazon注文明細から別途仕入高計上
2026/04/24,獲得ポイント残高,対象外,150000,未払金,JALSuicaゴールド,対象外,AMAZON.CO.JP,原資チャージ(2025準拠/対象外)。実仕入はAmazon注文明細から別途仕入高計上
2026/04/27,販売手数料,課仕 10%,498,未払金,JALSuicaゴールド,対象外,PAYPAL *ARVO,2025は販売手数料/課仕10%
2026/04/30,獲得ポイント残高,対象外,150000,未払金,JALSuicaゴールド,対象外,AMAZON.CO.JP,原資チャージ(2025準拠/対象外)。実仕入はAmazon注文明細から別途仕入高計上
