■ 11_調査士 満点計画（2026/10/18本試験・午前免除前提）			2026-06-10作成 / AIが週次更新

【凡例】	🟥最優先	🟧机の主役	🟦週2-3で	⬜随時

━━ ① 頻出弱点ランキング（過去問H17-26 肢別❌集計）★=短答でも外す ━━
順位	弱点テーマ	❌数	短答でも	対策
1	民法(無効/取消/時効/占有/遺産分割)	21	★	全分野の土台。最優先
2	合体・合併・合筆の区別	19	★	自認『苦手・ひっかけ』。対比表で
3	添付図面・添付情報	16	★	地積測量図/建物図面の要否
4	床面積(算入/不算入)	12	★	塔屋/地下道/天井高1.5m
5	本人確認・不正登記防止	9		
6	区分建物	9	★	一括申請・敷地権
7	筆界特定	9	★	
8	却下・取下げ	6	★	却下は申請書も還付されない
9	登記識別情報	6		
10	地目/保存期間/電子申請/区画整理	4	★	丸暗記系・短答頻発
	※1-4位で68❌=全体の4割。ここを消すと激変			

━━ ② 日次優先度（時間がない前提・配点で逆算）━━
優先	いつ	何を	形式	狙い
🟥①	毎日・移動/隙間	Anki due消化(択一弱点+ひな形文言)	暗記(recall)	知識を入れる。机を奪わない
🟧②	毎日・朝机(1.6h)	記述 過去問を1問 時間計測で解く	手を動かす	配点50点・伸びしろ最大の本丸
🟦③	週2-3・机/演習	弱点TOPテーマの択一/短答を集中→×をAnki化	選択式	ひっかけ耐性=運用層
⬜	週1・土午前2h	記述2問を本番形式で通し	通し演習	時間配分(土地50分/建物50分)

━━ ③ 曜日テンプレ（平日 朝5:00-7:30+移動 / 週16-17h）━━
時間帯	内容
移動/朝イチ10分	Anki due(択一弱点262+過去問×+ひな形)
朝5:10-6:50	記述過去問1問を解く：月水金=土地 / 火木=建物
朝6:50-7:15	答え合わせ→×論点をメモ&Anki化フラグ
夜・移動	Anki残り消化
土 午前2h	記述2問を本番形式で通し演習
日 10分	週次レビュー：トラッカー更新→AIが翌週配分を修正

━━ ④ 週次フェーズ（→10/18 本試験 約18週）━━
Phase	期間	机の主役(記述)	隙間(Anki/択一)	節目
P1 戻す	6/10-6/30	ひな形を使って土地基本型(分筆/地積更正)を解く	択一弱点262枚を80%復帰+弱点1-2位(民法/合併)	Anki習慣化
P2 組む	7月	記述 土地・建物を1日1問 時間計測	弱点3-4位(添付/床面積)を集中	申込(7末-8月)/測量士補合格確認
P3 通す	8月	記述を時間内に(土地50分/建物50分)	弱点5-10位を順に+全体維持	週1本番形式
P4 仕上	9月	過去問記述を新しめ(R01-06)中心に	間違いだけ高速回転	模試/答練を本番同様に
P5 直前	10/1-18	総復習・新規やらない	Anki dueのみ・取りこぼし防止	体調管理

━━ ⑤ 優先度ルール(迷ったら)━━
・机を使う時間は必ず『記述(手を動かす)』を最優先。机で暗記しない
・暗記(択一知識/ひな形文言)は全部Ankiで隙間へ追い出す
・短答/択一は『弱点TOPテーマだけ』。新規を全部やらない
・×はその日のうちにAnki化フラグ→週末にカード化(AI)
