区分	項目	期限	主体	資金繰り影響	状態/メモ
A自社新規	給与支払事務所等の開設届出	役員報酬開始(2月)から1ヶ月内=遅延	法人	なし(手続き)	役員報酬開始で必須。未提出なら早急に税務署へ
A自社新規	源泉所得税 納期の特例 承認申請	随時(申請翌々月から適用)	法人	なし(手続き)	年2回納付(7/10・1/20)化。申請しないと毎月10日納付
A自社新規	扶養控除等申告書の整備	役員報酬支給前(遡及整備)	法人	なし	これが甲欄=源泉0円の根拠。最優先で社内保管
A自社新規	給与計算の月次ルーティン化	毎月	法人	小	源泉/住民税/社保の天引き計算。役員報酬5万分
B7月期限	算定基礎届(社保 定時決定)	7/1〜7/10	法人	なし(届出)	税理士が役員報酬未把握だった件。社保ありなら対象
B7月期限	労働保険 年度更新	6/1〜7/10	法人	従業員いれば有	役員のみなら原則対象外。従業員(オーロラ等)いれば申告納付
B7月期限	源泉所得税 上半期分 納付	7/10	法人	甲欄=0円/乙欄=2-6月×3.063%	甲欄なら0円でも0申告。乙欄なら約1,531円×5ヶ月≒7,655円
C資金繰り	社会保険料(健保・厚年)	毎月末	法人	月額(要確認)	役員報酬5万=最低等級。会社負担+本人負担。社保加入の有無要確認
C資金繰り	固定資産税(保有不動産)	第2期 7月末/9月	法人/個人	中(要確認)	栄町等の保有物件分。納付書ベース
C資金繰り	所得税 予定納税(第1期)	7/31	個人	中(前年実績次第)	前年納税額15万超で発生。税務署通知を確認
C資金繰り	EC消費税(3ヶ月特例)	四半期ごと	個人	中(還付の可能性)	還付申告なら入金側。Q区切りで申告
C資金繰り	消費税 中間納付	前期税額次第	法人/個人	中〜大(要確認)	前期確定消費税48万超で中間発生。通知ベース
C資金繰り	個人住民税(普通徴収)	6月/8月/10月/1月	個人	中	特別徴収にするなら役員報酬から天引き(自社業務増)
