#separator:tab
#html:false
#tags column:3
#　択一下巻 弱点デッキ（過去問H27-R06の「1回×」=太字1回の問題）/ 2026-06-10
#　論点はアガルート下巻(0000002047)目次から取得。裏は俺の知識ベース→★全カード過去問・解説で裏取り必須
#　注意=「1回×」は弱シグナル(1周目で外しただけ)。短答262枚と重複多。解いて2周目の×を優先せよ
【択一H27問3】相続・遺言の要点は？	遺言能力(15歳以上)・方式・撤回・遺贈の対抗要件は登記 ★要確認	択一H27 民法
【択一H27問4】総論 申請情報の要点は？	登記の目的・原因日付・申請人・添付情報等の記載。一の申請情報による申請 ★要確認	択一H27 総論
【択一H27問5】表題部所有者に関する登記の要点は？	更正/変更/持分更正・表題部所有者の表示。所有権登記前の処理 ★要確認	択一H27 総論
【択一H27問7】土地の表題登記の要点は？	原因なし・地積測量図・所有者の住所証明。公有水面埋立等 ★要確認	択一H27 土地
【択一H27問9】土地合筆登記の要点は？	合筆制限(所有者/名義人相異・地目相異・所在相異・地役権要役地等)。地積測量図不要 ★要確認	択一H27 合筆
【択一H27問11】代位による登記の要点は？	被代位者と代位原因。地目変更は共有者1人から申請可で代位不可 ★要確認	択一H27 代位
【択一H27問12】登記所の管轄の要点は？	管轄外でも証明書請求可・申請は管轄登記所・えい行移転の管轄 ★要確認	択一H27 総論
【択一H27問13】建物表題登記の意義の要点は？	報告的登記・1月以内の申請義務・新築建物の特定 ★要確認	択一H27 建物
【択一H27問14】建物の表題登記の要点は？	建物図面・各階平面図・所有権証明・住所証明 ★要確認	択一H27 建物
【択一H27問16】区分建物 敷地権の要点は？	分離処分禁止・特定登記の消滅承諾・みなし規約敷地 ★要確認	択一H27 区分建物
【択一H27問17】区分建物 共用部分・団地共用部分の登記の要点は？	規約証明情報が必要・申請義務なし・所有権登記の抹消 ★要確認	択一H27 区分建物
【択一H28問1】総則 時効の更新の要点は？	更新事由(承認・裁判上の請求等)で時効が新たに進行。完成猶予との別 ★要確認	択一H28 民法
【択一H28問2】物権 相隣関係の要点は？	隣地使用・囲繞地通行権・境界標。住家は承諾要 ★要確認	択一H28 民法
【択一H28問3】相続 遺産分割の要点は？	法定相続分超過部分は登記なく第三者に対抗不可（民§899の2）★要確認	択一H28 民法
【択一H28問4】事前通知と本人確認情報の要点は？	登記識別情報を提供できない→事前通知 or 本人確認情報(面談の日時場所状況) ★要確認	択一H28 総論
【択一H28問9】土地分筆登記の要点は？	原因なし・地積測量図(分筆後の各筆)・申請適格は名義人 ★要確認	択一H28 分筆
【択一H28問14】建物合併登記の要点は？	所有者/名義人同一・効用上一体等の要件。所有権証明不要 ★要確認	択一H28 合併
【択一H28問16】区分建物に関する登記の要点は？	一括申請・原始取得者のみ・敷地権 ★要確認	択一H28 区分建物
【択一H28問18】総論 筆界特定の要点は？	名義人等が申請・行政処分でない・図面必須でない ★要確認	択一H28 筆界特定
【択一H28問20】調査士法人の要点は？	設立は登記で成立(法務大臣許可不要)・社員の業務執行・解散の監督 ★要確認	択一H28 調査士法
【択一H29問1】総則 代理の要点は？	顕名・代理権・復代理・無権代理と相続 ★要確認	択一H29 民法
