区分	品目	仕入れ側の実勢(入札・落札)	出口側の実勢(日本市場・輸出)	掛け目(仕入れ上限=出口×)	出口ルート	備考
車両	ランクル100 ディーゼル(過走行・公用)	最低売却価格15万〜・競りで数十万に上がりやすい	実査定100〜200万(旧車王・実測)	0.5	旧車専門買取・輸出商社	本件実例。出口の3〜5割仕入れで粗利50万超
車両	ハイエース(20万km超)	官公庁オークションで数十万〜(冷凍車250万例)	業者AAで10年落ち22万km最高180万	0.5	輸出専門買取	AA取引の約4割が20万km超=過走行でも値持ち
車両	プロボックス/ADバン(過走行商用)	公用車枠で数万〜20万	輸出ルートで数十万	0.5	輸出ルート持ち専門店	国内買取は渋い
車両	軽トラック	公売・オークションで数万〜	ヤフオク落札平均約27万	0.4-0.5	ヤフオク直販・地元需要
車両	公用車全般(セダン・ワゴン)	ヤフオク落札平均約15.7万	車種次第(大半は薄利)	見送り推奨	—	人気車種のみ個別判断
車両	マイクロバス・特殊車両	KSI高額例:ローザ351万・フォワード283万	キャンピング改装・輸出需要	個別査定	特殊車両専門業者	競合薄いが目利き難度高
動産	高級時計(ロレックス等)	公売=保証なしで市場より下	ヤフオク落札平均:サブマリーナ約38万	0.6	買取専門店・ヤフオク	真贋リスク。オークファンで型番確認必須
動産	カメラ・レンズ	公売は付属品欠品・動作未確認多	オークファンで型番ごと実勢	0.6	カメラ専門店・フリマ
動産	農地(国税公売に頻出)	安い	農地法3条許可必要=出口が極端に狭い	手を出さない	—	初心者不可
不動産	裁判所競売(BIT)	売却基準価額=市価の4〜5割・理論最安は市価の約4割	人気物件は市価の7〜9割まで競り上がり	0.5	再販・賃貸	修繕・占有・立退リスクをバッファ
不動産	公売(国税・自治体)	見積価額=基準価額から約3割減価	競売と同構造・競争はさらに薄め	0.5	再販・賃貸	引渡命令なし=占有リスクは競売より重い
